ccn,validthru,key,pin,quota
3608-1721-4160-1593,Jan/2018,6464,727,1400
3608-2507-4711-1603,Oct/2018,2767,770,1600
3608-2800-5470-1306,Sep/2020,3095,820,1200
3608-2588-4158-1394,Nov/2023,7991,820,1200
3608-2181-5750-1190,Jun/2025,7570,507,1100
3608-2800-4005-1597,Oct/2023,7912,928,1600
3608-1192-5407-1383,Dec/2019,6988,502,1900
3608-2067-4994-1181,Sep/2024,5936,360,1000
3608-1782-5038-1306,Jun/2025,5138,859,2000
3608-2800-5691-1794,Jan/2019,6295,393,1400
3608-2181-5988-1381,May/2023,4571,323,1300
3608-2800-5983-1245,Nov/2020,2955,056,1300
3608-2588-5394-1351,Dec/2021,3696,515,2000
3608-1395-5756-1900,Jan/2020,7322,806,1200
3608-2800-4288-1306,Feb/2024,2771,680,2000
3608-2751-4236-1804,Jan/2020,6917,805,1200
3608-1192-5132-1717,Oct/2023,2397,288,1700
3608-2588-5632-1032,Oct/2025,4610,470,1600
3608-2596-5459-1821,Aug/2025,2509,643,1300
3608-2751-4342-1129,Jun/2024,6402,315,2000
3608-1192-5638-1394,Nov/2018,5641,559,1400
3608-1192-5407-1216,Nov/2024,5592,922,1000
3608-2507-4005-1217,Nov/2025,4570,216,1600
3608-1721-4458-1983,Apr/2021,2904,966,1100
3608-1395-5030-1646,Nov/2025,2291,614,1600
3608-2588-5890-1032,Mar/2018,6782,383,2000
3608-1192-4458-1053,Mar/2019,4225,540,1300
3608-2800-4354-1931,Oct/2025,7680,698,1500
3608-1395-5407-1292,Oct/2024,4123,108,1400
3608-1333-5394-1828,Jul/2025,7673,366,2000
3608-1333-5750-1009,Nov/2019,3118,736,1500
3608-1682-5407-1660,Apr/2025,6137,824,1700
3608-2181-4668-1185,Jan/2022,2262,773,1100
3608-1395-4236-1744,May/2020,6989,981,1400
3608-1192-5750-1185,Apr/2019,5675,655,1300
3608-2968-5459-1064,Apr/2020,2773,281,1000
3608-2588-5983-1037,Oct/2020,2144,846,1000
3608-1682-4711-1198,May/2022,2482,310,1400
3608-2596-5489-1617,May/2019,2949,943,1100
3608-2596-4158-1693,May/2020,6402,835,2000
3608-2800-4329-1052,Mar/2020,2948,887,1500
3608-1721-4344-1038,Jul/2023,2427,077,1600
3608-1192-5756-1190,Nov/2025,6135,259,1000
3608-2588-5983-1189,Sep/2024,5399,881,1100
3608-2067-5724-1009,Apr/2018,6063,773,1600
3608-2596-4344-1383,Mar/2021,4206,201,1900
3608-1395-5132-1660,Sep/2018,6158,632,1800
3608-1333-5634-1744,Aug/2025,2225,035,1900
3608-1782-5015-1300,Feb/2020,7896,203,1500
3608-2800-5551-1744,Mar/2019,8009,852,1500
3608-2596-5766-1274,Dec/2024,6771,733,1700
3608-2968-4005-1194,Mar/2022,7538,734,1400
3608-1721-5750-1589,Jun/2023,4752,873,1000
3608-2596-5394-1804,Aug/2018,3908,958,1200
3608-2968-4951-1976,Dec/2023,5882,189,1700
3608-2067-5132-1351,Dec/2020,5822,639,2000
3608-1395-4951-1214,Sep/2022,2796,642,1900
3608-2067-4160-1637,Sep/2024,6707,743,1200
3608-2751-5394-1968,Sep/2024,7398,878,1800
3608-2751-5638-1589,Aug/2021,4524,015,1400
3608-2968-5983-1465,Apr/2019,3339,706,1800
3608-1782-4523-1983,Nov/2022,6378,464,1900
3608-2067-4329-1440,Jul/2022,4597,570,1100
3608-2800-5884-1194,Jun/2020,4069,571,1200
3608-1192-5394-1121,Jul/2019,3769,952,1300
3608-1782-5132-1344,Mar/2021,7008,896,2000
3608-2968-4580-1185,Nov/2024,5928,727,1700
3608-1682-5333-1900,May/2025,3778,863,1300
3608-1333-5638-1278,Jun/2018,6236,751,1300
3608-1192-5030-1583,Apr/2024,3839,797,2000
3608-1682-5458-1216,Oct/2023,3408,841,1500
3608-1782-5152-1705,Feb/2018,2669,055,2000
3608-2588-4711-1629,Nov/2022,5352,847,1900
3608-2588-4951-1976,Jan/2021,2490,941,1500
3608-2800-5030-1351,Oct/2022,4546,362,1700
3608-2181-4580-1185,Feb/2022,5626,462,1000
3608-2067-5030-1631,Aug/2025,7590,734,1400
3608-2507-5152-1435,Oct/2020,4726,121,1300
3608-1682-5983-1916,Feb/2019,7736,068,1200
3608-1333-5983-1518,Oct/2018,5581,185,1100
3608-2181-5132-1140,Jun/2025,5935,917,1400
3608-1333-4264-1190,Sep/2022,5511,442,1600
3608-2181-5745-1094,May/2022,5321,999,2000
3608-1782-4005-1001,Jul/2019,4782,434,1100
3608-2181-5750-1188,Jul/2020,3422,903,1600
3608-2507-5884-1383,Jun/2020,2091,116,1100
3608-1333-5394-1217,Jul/2023,3338,970,1900
3608-1721-4994-1140,Mar/2025,5598,079,1900
3608-1721-5132-1128,Feb/2023,5895,669,1600
3608-1192-5394-1583,Aug/2021,3553,263,1800
3608-2968-5983-1686,Sep/2019,2009,370,1900
3608-2588-4354-1629,Jul/2021,5917,086,1700
3608-2067-4657-1182,Jul/2024,2842,821,1800
3608-2800-5691-1244,Oct/2020,4913,047,1800
3608-2751-4354-1892,Aug/2021,3106,035,1400
3608-2507-5791-1198,Jan/2018,4372,367,1600
3608-1721-5724-1518,Mar/2023,2402,139,1300
3608-1782-5638-1839,Nov/2023,6615,579,1000
3608-1192-4342-1274,Nov/2019,4470,756,1800
3608-1721-4264-1001,Mar/2023,2661,772,1300
3608-1782-5696-1646,Dec/2023,5026,226,1400
3608-1333-5030-1024,Sep/2022,5520,484,1600
3608-2968-4383-1660,Dec/2022,6951,753,1300
3608-2751-5884-1322,May/2024,3186,487,1400
3608-1782-4354-1032,Jul/2023,4710,754,1500
3608-1782-4458-1068,Nov/2025,4060,248,1300
3608-1333-4342-1614,Feb/2025,3385,900,1500
3608-2507-4236-1631,May/2020,6661,414,1600
3608-2751-5756-1394,Feb/2018,7056,606,1900
3608-1682-4005-1190,Jun/2020,4182,047,1900
3608-1192-4856-1629,Apr/2022,2639,693,2000
3608-2596-4711-1613,Jul/2022,4453,642,1300
3608-1333-5038-1693,Nov/2022,6019,810,1600
3608-2181-4344-1603,Oct/2025,2791,472,1000
3608-2800-5983-1915,Jan/2022,5565,674,1000
3608-1682-5696-1214,Feb/2024,5945,612,1100
3608-2751-5766-1024,Apr/2020,4016,949,1600
3608-2507-5724-1024,Jun/2018,2712,829,1300
3608-1782-4354-1274,Jan/2019,4790,700,1200
3608-2507-5750-1960,Sep/2019,2835,305,1000
3608-2181-5394-1596,May/2023,6415,180,1800
3608-2507-5890-1980,Feb/2019,6155,323,1600
3608-1395-5696-1215,Mar/2022,7537,242,1400
3608-2751-5691-1705,Sep/2019,7657,743,1200
3608-2800-5638-1856,Mar/2022,3853,755,1000
3608-1721-5132-1828,Jun/2019,7690,696,1300
3608-1395-5038-1121,Jun/2019,3118,852,1500
3608-2588-4342-1355,Jan/2020,4723,845,1300
3608-1395-5750-1916,Sep/2020,7426,376,1300
3608-2751-5766-1761,Mar/2020,6043,579,1600
3608-1395-5766-1134,Jan/2020,7770,742,1700
3608-2751-5696-1182,Sep/2020,4298,859,1900
3608-2181-4158-1593,Mar/2020,5685,785,2000
3608-2507-5691-1292,Aug/2024,7153,399,1300
3608-1395-4329-1265,Apr/2024,6273,289,1600
3608-2751-5196-1960,Jan/2021,2988,216,1000
3608-1333-4580-1055,Mar/2023,5884,608,1400
3608-1721-4383-1394,Oct/2020,3033,054,1200
3608-1395-5634-1476,Jan/2023,6129,738,1600
3608-1721-5756-1038,Oct/2024,5568,707,1600
3608-1721-4318-1838,Nov/2025,7878,501,1300
3608-2181-5884-1717,Dec/2025,6015,398,1400
3608-2181-5030-1856,Jul/2024,7455,551,1600
3608-1192-4342-1705,Jan/2019,5387,941,1700
3608-2800-5152-1839,Jan/2018,3269,445,1300
3608-2751-5890-1217,Jun/2022,3438,448,1600
3608-2507-5458-1032,Aug/2023,5563,346,1400
3608-2596-4856-1182,Aug/2018,3110,778,1100
3608-2507-5632-1474,Jul/2021,4600,066,1900
3608-2507-5691-1673,Dec/2018,4309,531,1900
3608-2507-4668-1322,Oct/2025,3415,596,1700
3608-1333-5196-1631,Aug/2025,4584,894,1000
3608-1721-5015-1185,Jun/2022,3465,691,1900
3608-1395-4329-1637,Jan/2022,3441,783,2000
3608-2968-4264-1129,Mar/2025,5038,525,1300
3608-1333-4160-1856,Nov/2023,4180,361,1100
3608-2751-5750-1361,Feb/2021,5228,783,1000
3608-2596-4523-1128,Jun/2018,4521,955,1200
3608-1782-4354-1255,Jul/2023,6947,478,1800
3608-2067-5884-1216,Feb/2020,5076,218,1900
3608-1333-5030-1474,Jun/2021,7782,626,1700
3608-1721-5152-1551,Jan/2021,3359,956,1100
3608-1682-4668-1589,Dec/2025,3355,420,1300
3608-2800-5745-1055,Jan/2018,5163,580,1600
3608-1721-5196-1190,May/2019,7319,153,2000
3608-1682-5015-1839,Sep/2019,6472,445,1100
3608-1682-4951-1278,Feb/2020,3331,387,1900
3608-1721-5489-1245,Jul/2023,2434,772,1200
3608-1333-5152-1157,Nov/2023,5567,372,1300
3608-2507-4711-1999,Oct/2024,3045,637,1200
3608-2800-4711-1198,Feb/2021,3600,060,2000
3608-1395-4668-1024,Oct/2021,2347,110,1400
3608-1192-5988-1518,Jan/2018,3242,400,1000
3608-2588-4264-1682,Mar/2020,7365,752,1100
3608-2968-4580-1068,Dec/2023,6287,522,2000
3608-1682-4445-1274,Mar/2018,3414,945,1100
3608-2181-5551-1355,Jan/2024,4928,581,1300
3608-2507-5458-1301,Jul/2022,7161,428,2000
3608-1682-4318-1306,Jan/2019,4731,385,1500
3608-2751-4445-1558,Feb/2023,7200,904,1500
3608-1721-4158-1465,Aug/2021,2567,494,1600
3608-2067-4158-1623,Apr/2021,3918,097,1300
3608-2067-4383-1572,Apr/2024,2328,489,1700
3608-2181-4264-1428,Apr/2023,6622,456,1300
3608-2588-4657-1856,Jun/2025,5062,084,1400
3608-1721-5030-1121,Sep/2019,2757,186,1500
3608-1333-5152-1465,May/2018,1969,208,1600
3608-2588-4264-1744,Mar/2025,6752,143,1500
3608-1782-5791-1660,Dec/2020,3330,581,1000
3608-1721-4383-1278,Nov/2021,7951,911,1200
3608-2067-4383-1182,Mar/2021,3958,743,1100
3608-2596-5745-1214,Nov/2025,2377,194,1300
3608-2181-4318-1217,Jul/2024,2368,979,1400
3608-1333-5696-1442,Jul/2025,5091,663,2000
3608-1395-5030-1344,Apr/2024,5098,571,1100
3608-1721-4856-1597,Apr/2020,4416,941,1200
3608-1333-4264-1537,Oct/2021,4039,524,1500
3608-2800-5724-1518,Dec/2020,2498,463,1100
3608-1721-5884-1351,Feb/2023,3747,345,1100
3608-2181-5791-1383,Apr/2025,3874,331,1600
3608-1721-4951-1497,Sep/2020,3399,211,1900
3608-2596-5551-1589,Jun/2021,2071,552,1400
3608-1721-4657-1407,Nov/2021,3243,279,1600
3608-1782-5696-1189,Oct/2019,3494,478,2000
3608-2181-4951-1190,Nov/2019,4663,410,1100
3608-2067-5756-1856,Jul/2024,4049,402,1800
3608-2596-4383-1761,Jul/2019,7907,565,1700
3608-1395-5333-1474,Aug/2024,6689,618,1500
3608-1192-4236-1497,May/2023,5639,595,1900
3608-1682-4458-1892,Jun/2022,4101,339,1800
3608-2968-4657-1322,Aug/2023,2916,394,1600
3608-2596-5132-1838,Oct/2021,4035,459,1100
3608-1682-5983-1014,Mar/2019,4161,546,1900
3608-2588-5394-1128,Oct/2022,2046,672,1200
3608-2751-4994-1931,Feb/2022,5213,949,1400
3608-1682-4318-1682,Jul/2025,6143,351,1900
3608-2181-4856-1053,May/2022,2957,644,1400
3608-2181-4005-1613,Mar/2024,7387,229,1100
3608-2181-5407-1465,Mar/2025,7329,410,1700
3608-1395-4344-1613,Sep/2023,3567,401,1500
3608-2800-4951-1068,Jan/2024,7019,197,1100
3608-1333-5745-1916,Sep/2018,4181,007,1200
3608-2181-4329-1761,Jun/2019,6828,949,1300
3608-2181-5638-1194,Jun/2019,3517,651,1100
3608-1782-5791-1189,Mar/2020,4044,902,1400
3608-2067-4523-1968,Jan/2023,2941,471,1800
3608-2800-5884-1182,Feb/2022,7534,936,1400
3608-2507-5132-1377,Oct/2019,5665,987,1000
3608-1721-4342-1589,Aug/2025,2264,551,1100
3608-2507-4994-1394,Jul/2019,2547,365,1500
3608-2588-5459-1795,Feb/2023,4339,201,1600
3608-2596-5724-1163,Apr/2018,7474,332,1600
3608-2067-4038-1109,Mar/2024,3155,320,2000
3608-2588-5551-1844,Dec/2020,3465,099,1200
3608-2067-5766-1377,Nov/2019,3491,340,1800
3608-2968-4236-1916,Oct/2024,7172,980,1900
3608-2181-5890-1935,Apr/2019,7000,253,1000
3608-2507-5394-1442,Jul/2019,6164,291,1900
3608-2181-4711-1892,Oct/2023,6091,092,1600
3608-2968-5196-1188,Jul/2025,7357,032,1700
3608-2751-4657-1245,Oct/2022,7409,954,1300
3608-1192-5884-1442,Aug/2018,5117,590,1200
3608-1333-4657-1617,Mar/2024,6632,696,1800
3608-2968-5394-1497,Apr/2018,3921,571,1500
3608-2181-4158-1306,Jan/2021,7100,051,1200
3608-2588-4394-1915,Oct/2019,7839,289,1600
3608-1333-4005-1377,Feb/2023,7484,055,1300
3608-2968-4236-1980,May/2022,7590,179,1000
3608-1333-4668-1583,Apr/2018,7681,556,1700
3608-2507-5791-1976,Apr/2021,7457,997,1000
3608-2181-4523-1660,May/2022,2845,888,1900
3608-2507-4445-1394,Dec/2024,3542,242,1100
3608-1333-4383-1383,Jun/2022,4991,979,1900
3608-2588-5632-1198,May/2018,3385,354,1300
3608-1721-4318-1217,Dec/2023,2934,646,1200
3608-1333-4657-1465,Aug/2020,3450,892,1100
3608-2596-5691-1001,Jul/2020,7121,337,1400
3608-2596-4383-1705,Feb/2024,6060,861,1600
3608-1192-4038-1617,Dec/2020,7733,738,1500
3608-1782-5152-1603,Nov/2019,7089,669,1300
3608-2181-5551-1476,Aug/2018,6667,263,1700
3608-2800-4329-1399,Feb/2019,4976,117,1300
3608-2968-4344-1931,Jul/2021,8040,252,1300
3608-1682-5489-1583,Jan/2023,5962,478,1800
3608-2507-5333-1014,Jul/2020,5339,767,1600
3608-2181-5638-1163,Feb/2023,7246,884,1200
3608-2181-4318-1220,May/2020,6119,027,1500
3608-2507-4005-1935,Sep/2023,2694,961,1200
3608-2596-4236-1936,Sep/2025,3452,446,1700
3608-1395-4236-1617,Jul/2024,4377,635,1200
3608-2588-4951-1916,Jul/2018,7385,865,1600
3608-2588-5988-1377,Sep/2021,6541,684,1100
3608-2067-5988-1518,Sep/2023,5326,199,1500
3608-1682-5489-1705,Apr/2018,4591,905,1400
3608-1682-5638-1717,Nov/2024,7153,106,1600
3608-1395-5030-1717,Jan/2018,2052,569,1300
3608-1395-4994-1668,Aug/2018,5396,279,1100
3608-2588-5015-1900,Jul/2022,5637,702,1900
3608-2507-4445-1130,Jul/2024,4090,838,2000
3608-2800-4160-1474,Jan/2020,2432,530,1000
3608-1782-4160-1128,Jul/2021,3707,455,1800
3608-1721-5015-1761,Jun/2018,5877,520,2000
3608-2800-5407-1383,Nov/2023,1968,764,1200
3608-1682-5470-1128,Jan/2020,2786,679,1600
3608-2800-4657-1637,Jan/2024,4789,764,1200
3608-2968-5638-1660,Apr/2019,3710,468,2000
3608-2507-5030-1572,Dec/2022,5598,119,1700
3608-1682-4994-1892,Nov/2021,6420,650,1400
3608-1782-4580-1935,Feb/2021,3108,605,1300
3608-2588-4994-1745,Oct/2019,2225,065,1500
3608-2800-4668-1128,Jun/2018,4626,673,1500
3608-2596-4354-1128,Jan/2021,4465,374,1300
3608-1192-4354-1603,Jun/2018,7572,630,1900
3608-1721-5884-1821,Apr/2023,2635,640,1400
3608-2596-4458-1381,Nov/2021,6546,427,1400
3608-2181-4158-1055,Jul/2019,4181,681,1100
3608-2596-4394-1188,Jan/2024,6798,218,1400
3608-1721-5791-1660,Jan/2025,4150,249,1600
3608-1682-4264-1053,Jun/2020,6682,812,1800
3608-2588-5038-1442,Feb/2024,6292,585,1800
3608-2181-4158-1828,Jul/2020,7722,309,2000
3608-2968-5196-1744,Jan/2022,5320,585,1300
3608-1333-5638-1255,Mar/2018,7383,356,1800
3608-1395-5756-1001,Apr/2020,3357,449,1100
3608-1333-4005-1837,Aug/2025,6613,315,1700
3608-2968-4038-1300,Sep/2021,7467,023,1100
3608-2596-4445-1999,Mar/2018,6304,030,1500
3608-2181-5407-1915,Jul/2020,3916,389,1200
3608-2800-4523-1718,May/2022,7945,488,1000
3608-1721-5745-1518,Sep/2018,5082,108,1800
3608-2968-5030-1435,Nov/2018,5611,465,1500
3608-1782-5015-1189,Feb/2024,7208,292,1600
3608-2588-4580-1037,Jun/2019,3193,268,1500
3608-1682-5458-1185,Nov/2024,4094,153,1700
3608-2507-4856-1068,Apr/2022,5567,601,1300
3608-2968-5890-1198,Dec/2024,5436,613,1400
3608-2588-5196-1705,Aug/2025,3594,890,1000
3608-2800-4288-1892,Aug/2022,6560,729,1400
3608-1395-5696-1383,Apr/2018,4348,582,2000
3608-1682-5890-1377,May/2022,2666,273,1500
3608-1395-5458-1844,Nov/2025,5038,800,1500
3608-1682-5791-1761,Feb/2025,7690,804,1000
3608-2181-5196-1361,Jul/2020,6063,089,2000
3608-2588-5407-1593,Jul/2021,7567,133,1300
3608-1721-5691-1377,Oct/2018,3797,339,1800
3608-1721-4342-1361,May/2021,5429,905,2000
3608-2968-4994-1306,Jul/2025,2236,604,1200
3608-2067-5394-1300,Jun/2024,4876,933,1900
3608-2588-4344-1761,May/2021,6944,938,1600
3608-2968-4344-1094,Apr/2022,7661,167,1100
3608-2751-4329-1189,May/2018,2999,064,1800
3608-2968-5791-1660,Feb/2024,2935,026,1800
3608-2751-4354-1121,Jul/2022,6059,535,1400
3608-2588-5696-1245,Oct/2024,7591,185,1600
3608-2588-4236-1761,Jun/2018,5105,260,1600
3608-2596-4394-1761,Dec/2024,7238,609,1100
3608-1782-5632-1188,Jul/2019,5034,885,1300
3608-2507-5489-1377,Jan/2025,7282,638,1700
3608-1192-4994-1014,Jul/2019,2896,199,1400
3608-1721-5696-1442,Nov/2024,7270,946,1100
3608-1782-5333-1217,Aug/2019,3545,902,1300
3608-1395-5696-1009,Sep/2024,7841,904,1900
3608-2968-4394-1476,Sep/2018,6151,965,1400
3608-1682-5030-1394,Jan/2019,4568,505,1800
3608-2588-5756-1475,Feb/2024,4061,630,1500
3608-1395-5791-1245,Aug/2024,2180,905,1500
3608-1682-5470-1744,Sep/2020,4827,846,1200
3608-2596-4264-1134,Apr/2024,6387,092,1200
3608-2596-4264-1185,Jul/2019,4549,195,1900
3608-2596-5632-1274,Jul/2024,5257,972,1700
3608-2751-4580-1344,Jun/2018,4163,328,1000
3608-1333-5745-1537,Oct/2024,3571,536,1100
3608-2751-5890-1476,May/2022,5152,071,1700
3608-2751-5724-1915,Nov/2022,7701,513,1300
3608-2751-4458-1603,May/2019,2930,370,1500
3608-1721-5638-1614,May/2021,3844,291,1100
3608-1782-5333-1668,Jan/2018,6274,440,1600
3608-2968-4458-1189,Jun/2021,6407,803,1400
3608-1782-4038-1537,Aug/2019,7318,278,1100
3608-2751-4342-1381,Mar/2018,7409,108,1600
3608-1721-4458-1844,Jun/2024,6332,837,1200
3608-2507-5394-1900,May/2018,4433,866,1400
3608-2507-4038-1032,Aug/2018,3878,658,1800
3608-2181-5884-1673,Sep/2025,7358,143,1200
3608-1333-5632-1292,Feb/2023,4560,419,1900
3608-1395-4158-1900,Nov/2023,6820,117,1000
3608-2067-5196-1188,Aug/2018,3275,651,1300
3608-1192-5394-1745,Feb/2021,4832,984,1800
3608-2800-5196-1188,Aug/2022,7283,234,1600
3608-2588-5745-1245,May/2018,4906,135,1000
3608-2968-5551-1593,Apr/2020,3890,554,1100
3608-2588-4668-1983,Apr/2025,6492,953,1100
3608-1192-5983-1828,Dec/2018,5927,480,1000
3608-1395-4342-1216,Apr/2022,3294,505,1900
3608-2968-4005-1435,May/2023,5209,143,1000
3608-1395-5724-1476,Oct/2021,5538,232,1900
3608-2507-4158-1980,Nov/2019,2275,890,1300
3608-1782-4038-1660,Jan/2019,5145,073,1000
3608-1782-5038-1130,Jun/2024,7169,889,1700
3608-2596-4318-1214,Mar/2024,7573,400,1300
3608-1721-4318-1999,Jan/2022,6592,228,1300
3608-1333-4580-1603,Mar/2019,3095,833,1500
3608-2596-5030-1980,Feb/2025,4866,297,1700
3608-2181-5470-1435,Jul/2020,5117,369,1700
3608-2596-5632-1686,Dec/2021,4597,551,1900
3608-1395-4994-1976,May/2018,7611,250,1400
3608-2181-5638-1014,Jun/2023,6731,020,1500
3608-1333-5407-1558,Mar/2024,4896,835,1500
3608-2751-4445-1383,Feb/2020,5619,759,1200
3608-1333-4711-1361,Nov/2023,4141,635,2000
3608-1333-5983-1306,Mar/2020,7884,513,1600
3608-1782-5745-1795,Sep/2022,4354,682,2000
3608-2181-4236-1189,Jul/2025,5963,602,1900
3608-1395-4383-1394,May/2025,4948,646,1200
3608-2968-4580-1673,Jul/2019,7162,387,1000
3608-1395-4236-1497,Mar/2022,2653,722,1400
3608-1333-4523-1344,Apr/2020,4834,086,1800
3608-1782-5634-1121,Aug/2020,6279,029,1200
3608-2968-5983-1278,Sep/2020,6584,363,1100
3608-2067-5983-1157,Sep/2021,7811,300,1500
3608-2596-5691-1306,Dec/2020,4608,794,1400
3608-1333-5015-1322,Sep/2021,8020,100,1900
3608-1782-5152-1054,Sep/2019,6826,167,1300
3608-2067-5983-1804,Jan/2018,6370,053,1600
3608-2507-4668-1572,Apr/2021,7578,189,1300
3608-1682-4038-1968,Jun/2021,6983,951,1800
3608-2968-5750-1181,Aug/2023,2158,258,1100
3608-1682-5196-1220,Nov/2021,7994,985,1900
3608-1782-4580-1194,Jan/2025,4737,857,1800
3608-2181-4288-1551,Sep/2019,2322,553,1700
3608-2067-5766-1718,Jan/2025,7398,526,1200
3608-1395-4236-1980,Jun/2023,5417,794,1500
3608-2588-5333-1377,Oct/2023,5054,459,1000
3608-2067-5038-1572,Oct/2020,3638,707,2000
3608-1682-4994-1686,Jul/2021,3578,760,1700
3608-1333-5791-1032,Jan/2021,6668,015,1800
3608-1333-5632-1054,Oct/2023,2833,380,1300
3608-1782-5489-1194,Nov/2023,5804,179,1800
3608-1192-5634-1631,Aug/2022,2529,761,1000
3608-2067-4158-1589,May/2018,6018,831,1000
3608-2181-4394-1745,Jan/2021,3230,578,1800
3608-2181-4344-1109,May/2024,5780,763,2000
3608-1782-5691-1182,Feb/2022,5052,799,2000
3608-2588-5638-1181,May/2022,5407,625,1600
3608-1782-5791-1054,Feb/2018,5568,486,1900
3608-2588-4668-1794,Jun/2024,7180,221,1000
3608-1395-4354-1053,Apr/2025,6838,485,2000
3608-1682-5030-1055,Jan/2020,5729,706,1100
3608-2596-4458-1936,Apr/2018,3058,305,1100
3608-2067-4711-1001,Jan/2023,4184,661,1700
3608-1395-5030-1856,Jan/2025,3316,842,1300
3608-2588-5407-1306,Feb/2020,5898,516,1900
3608-1782-4160-1761,Nov/2018,7046,988,1900
3608-1721-4344-1839,Jul/2021,3116,026,1100
3608-2751-5745-1795,Nov/2018,2145,327,1600
3608-1782-4580-1804,Sep/2022,2640,907,1000
3608-2968-4344-1215,Mar/2018,6880,334,2000
3608-1721-5030-1265,Mar/2023,2481,435,2000
3608-2968-5638-1306,Mar/2018,6204,080,2000
3608-2067-5470-1596,Oct/2018,7859,411,1000
3608-2751-5394-1745,Feb/2023,3296,830,1000
3608-2596-4344-1054,Dec/2018,5492,149,1900
3608-2507-4288-1399,Oct/2019,5140,576,1800
3608-1192-5407-1024,May/2021,2323,886,1300
3608-2588-5333-1596,Aug/2024,5666,509,1700
3608-1721-5030-1188,Nov/2018,7647,381,1200
3608-1721-5489-1915,Aug/2021,4240,115,1700
3608-1333-4236-1856,Aug/2025,2431,132,1600
3608-1192-5394-1245,Aug/2022,7107,539,1900
3608-1682-5983-1220,Jul/2022,7563,468,1200
3608-1395-4342-1109,Mar/2021,3617,926,1100
3608-2968-5196-1900,Jan/2021,5439,493,1000
3608-2181-5015-1558,Feb/2019,6045,564,1800
3608-1721-4994-1744,May/2024,4544,571,1000
3608-1782-4394-1377,Sep/2020,2040,929,1400
3608-1682-5489-1194,Sep/2025,4012,353,1900
3608-2751-5724-1999,Jul/2018,2646,006,1700
3608-1721-4458-1745,Feb/2021,3603,363,1200
3608-2800-4856-1381,Mar/2025,7888,860,1300
3608-2067-4158-1220,Sep/2023,4647,596,1900
3608-1721-5750-1497,Mar/2019,7398,776,1000
3608-1782-4344-1660,Aug/2025,3526,118,1000
3608-1395-5551-1215,Nov/2022,3307,615,1600
3608-2800-4038-1804,Dec/2025,7327,745,1400
3608-2751-4668-1190,Jan/2023,7745,313,1300
3608-2800-4329-1474,Oct/2018,2237,001,1600
3608-2968-5459-1038,Feb/2025,3615,196,1100
3608-2596-5551-1109,Oct/2018,7558,334,2000
3608-2968-4394-1596,Dec/2021,7320,645,2000
3608-1782-4951-1198,Jul/2018,3432,818,1600
3608-1395-4523-1916,Nov/2025,7528,366,1200
3608-1782-5766-1344,Sep/2021,4805,623,1900
3608-2067-5691-1976,Jul/2021,4195,809,1000
3608-2181-5884-1603,Apr/2019,6990,591,1600
3608-1721-4318-1220,Oct/2025,5015,651,1700
3608-1192-5750-1383,Jul/2018,7893,238,1400
3608-2588-5724-1631,Jul/2018,7503,727,1800
3608-1333-5196-1705,Jun/2021,3376,527,1300
3608-1395-5724-1682,Jun/2021,2311,458,1700
3608-1782-4354-1053,Nov/2018,7353,955,1600
3608-1192-5724-1837,Jan/2021,4846,141,1900
3608-2968-5038-1935,Mar/2021,3514,280,1700
3608-2596-4951-1306,Apr/2025,5368,601,1800
